% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: Elisa Venditti
%      (b) Donor: Elisa Venditti
%      (c) Date: May, 2022
% 
@RELATION buggy

@ATTRIBUTE size  NUMERIC
@ATTRIBUTE locTouched   NUMERIC
@ATTRIBUTE revisionNumber  NUMERIC
@ATTRIBUTE authorNumber   NUMERIC
@ATTRIBUTE locAdded   NUMERIC
@ATTRIBUTE maxLocAdded   NUMERIC
@ATTRIBUTE avgLocAdded   NUMERIC
@ATTRIBUTE chgSetSize   NUMERIC
@ATTRIBUTE maxChgSetSize   NUMERIC
@ATTRIBUTE avgChgSetSize   NUMERIC
@ATTRIBUTE class        {Yes, No}
@DATA
483.0,2898.0,6.0,0.0,2898.0,483.0,483.0,7968.0,1328.0,1328.0,No
216.0,1392.0,12.0,0.0,1344.0,216.0,112.0,8016.0,1328.0,668.0,No
138.0,828.0,6.0,0.0,828.0,138.0,138.0,7968.0,1328.0,1328.0,No
154.0,972.0,18.0,0.0,948.0,154.0,52.0,8712.0,1328.0,484.0,No
62.0,372.0,6.0,0.0,372.0,62.0,62.0,7968.0,1328.0,1328.0,No
114.0,684.0,6.0,0.0,684.0,114.0,114.0,7968.0,1328.0,1328.0,No
45.0,282.0,12.0,0.0,276.0,45.0,23.0,8118.0,1328.0,676.0,No
34.0,264.0,12.0,0.0,234.0,39.0,19.0,8118.0,1328.0,676.0,No
48.0,324.0,12.0,0.0,306.0,44.0,25.0,8118.0,1328.0,676.0,No
72.0,492.0,12.0,0.0,462.0,66.0,38.0,8118.0,1328.0,676.0,No
201.0,1422.0,24.0,0.0,1314.0,180.0,54.0,8214.0,1328.0,342.0,No
50.0,324.0,12.0,0.0,312.0,48.0,26.0,8118.0,1328.0,676.0,No
31.0,186.0,6.0,0.0,186.0,31.0,31.0,7968.0,1328.0,1328.0,No
31.0,186.0,6.0,0.0,186.0,31.0,31.0,7968.0,1328.0,1328.0,No
80.0,552.0,12.0,0.0,516.0,73.0,43.0,8118.0,1328.0,676.0,No
72.0,732.0,24.0,0.0,582.0,64.0,24.0,8322.0,1328.0,346.0,No
191.0,1362.0,12.0,0.0,1254.0,181.0,104.0,8118.0,1328.0,676.0,No
111.0,858.0,24.0,0.0,762.0,102.0,31.0,8322.0,1328.0,346.0,No
72.0,504.0,12.0,0.0,468.0,68.0,39.0,8118.0,1328.0,676.0,No
104.0,696.0,12.0,0.0,660.0,92.0,55.0,8118.0,1328.0,676.0,No
306.0,2268.0,12.0,0.0,2052.0,300.0,171.0,8118.0,1328.0,676.0,No
193.0,1602.0,24.0,0.0,1380.0,178.0,57.0,8874.0,1328.0,369.0,No
60.0,474.0,24.0,0.0,420.0,54.0,17.0,8322.0,1328.0,346.0,No
167.0,1254.0,12.0,0.0,1128.0,157.0,94.0,8118.0,1328.0,676.0,No
39.0,306.0,12.0,0.0,270.0,37.0,22.0,8118.0,1328.0,676.0,No
174.0,1284.0,18.0,0.0,1164.0,175.0,64.0,8142.0,1328.0,452.0,No
83.0,498.0,6.0,0.0,498.0,83.0,83.0,7968.0,1328.0,1328.0,No
112.0,714.0,24.0,0.0,696.0,96.0,29.0,8832.0,1328.0,368.0,No
48.0,288.0,6.0,0.0,288.0,48.0,48.0,7968.0,1328.0,1328.0,No
50.0,300.0,6.0,0.0,300.0,50.0,50.0,7968.0,1328.0,1328.0,No
56.0,336.0,6.0,0.0,336.0,56.0,56.0,7968.0,1328.0,1328.0,No
48.0,288.0,6.0,0.0,288.0,48.0,48.0,7968.0,1328.0,1328.0,No
93.0,558.0,6.0,0.0,558.0,93.0,93.0,7968.0,1328.0,1328.0,No
42.0,252.0,6.0,0.0,252.0,42.0,42.0,7968.0,1328.0,1328.0,No
43.0,258.0,6.0,0.0,258.0,43.0,43.0,7968.0,1328.0,1328.0,No
